$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.689682286193075,12.738705922620108,14.272819740156821,11.544391548177192,11.817904717931418,11.438261016157625,12.996563262471618,11.697126509664294,11.52411571223733
6.723286512001568,12.759876895742636,14.18827068474188,10.944342603899868,11.846194122380464,11.489511435223779,13.037768459066418,12.480476292294592,11.382125331581557
6.828225891605245,12.917054222733464,14.335896918346712,13.06438302359831,12.342339940749795,11.981835178933883,12.664058080164034,11.955436087360317,11.75086963749486
6.815192527135835,12.895379129507788,14.369445233198878,12.947180043890738,12.315699350317693,11.971081119100077,12.806733800696179,12.788580500819593,11.151155371066652
6.778660303651965,12.679693686301363,14.301300715823203,12.272723981709966,11.980622778260116,11.769831601930333,12.906646261038018,8.735989968250484,11.82926524171767
6.778952091574444,12.929693866249503,14.320245238129923,12.637487143581644,12.068417739497303,11.881574251245524,12.830339345033327,13.399843850459922,11.483268533451845
6.8519554410695696,12.917372386719688,13.635360216647523,11.664004511915987,11.99819215980746,12.197572944498758,12.789447365897322,12.353138499892916,11.644488688995532
6.610418826229318,12.746259053080323,14.904721079306809,12.139817678857924,12.409452349678277,11.445833987542397,12.878789860017726,12.273970357804064,11.72726549439078
6.659638213114007,12.829251414070178,14.803533561754964,12.624949890170353,12.350396031468836,11.432940239388994,12.85314580290705,11.542954348097934,12.08893901726681
6.895817788223182,12.908723248005824,13.971944767547818,13.358028280354377,11.721070226920009,12.013411304328155,12.892841543392796,11.17886405127555,10.90624377752422
6.6468537178489795,12.846009054220215,14.248931736733784,13.064528059954858,12.4604227614267,11.697901838961345,12.819493298501417,11.691787520327637,11.286465430456486
7.0184890888489075,12.924060832188822,14.317050802063333,13.15319853074599,11.6521563112733,11.997013198923879,12.91070948808525,11.608787641720436,11.968755179008959
6.555304484377246,12.757460837137378,14.436362076340902,12.745433537588006,12.534681891596657,11.710490033156248,12.776226951190973,11.158716621253443,11.802099091147797
6.9082438611307495,12.940926384198427,13.998067794407882,12.357978961511193,11.891521885268512,11.898807660022506,12.908544437058262,12.35408868024359,11.301326752933784
6.734324993682488,12.855832418233849,14.540133660209724,12.854683974288792,12.201424412504931,11.847758455672281,12.722140342615628,10.874477526414871,11.917899962241162
6.745766517458442,12.89312879869603,14.076988056476676,10.730746036129856,11.718930644379938,11.654324884645632,12.804227715455726,12.520138178397575,12.366651117108523
6.925133808623224,12.73370376911614,14.37922635932421,12.925797092119112,11.89418166206401,12.007362755362601,13.079067541095466,10.554237661219116,11.651120952660103
6.762566241048945,12.765076534785608,14.34147296332755,10.736566774880092,11.860076047297053,11.883944611985662,13.04988569550776,12.969197409797967,12.413463875591683
6.9391634834713205,12.911688316562799,14.261215148365059,12.392043751116379,12.446294043752108,11.862967049466315,12.754120402358284,11.789435834592538,10.577269050266558
6.5849378775838545,12.910440578929903,14.831550545995045,11.641900176223192,12.286024557034048,11.908067533985017,12.999030015934112,12.021928074403004,10.126627890515849
6.824563166540962,12.82965317713195,13.734373616750013,13.495876994892726,11.352722389570877,11.725017937176622,12.774677172256588,9.369509880860589,9.800545183371723
6.807683885701853,12.849292456546584,14.973220647346341,11.799421174289218,11.74072752182984,11.718763478757536,12.88071486660302,10.155341826582118,11.128194464551614
6.758504518697378,12.851381212608322,13.70391285342232,12.168386476453106,12.547012205000673,12.040237721248646,12.905583508004732,11.853921176131497,10.105848049815586
6.670962910497055,12.850931732418342,14.488852791038509,12.000763873335774,11.748478026176118,11.935162245391298,12.802716335930452,12.19233087904498,12.131267454118417
6.932514129182022,12.800006647229472,14.414986548652443,12.950630013961499,12.718009738435232,11.997220941507424,12.693121005644919,11.2133742255545,10.935471319936553
6.653960113385105,12.75939969364389,14.203676418603326,11.805613008414896,11.761860254934172,11.646590104435184,12.95952285648302,11.0564441906218,12.134741748967382
6.6559862834649515,12.780328819104964,14.095821678423835,11.245916641635194,11.899247473207302,11.667438792124663,12.976035826824122,11.44085364901805,11.99896634797459
6.866996973631043,12.767754133499533,14.581410552316305,11.34984928121619,12.358914014987015,12.054206982286148,12.839760192229406,12.294064364393597,10.972660739983272
6.769753843308307,12.857632178524312,14.24507885952504,11.51394432644943,11.828713368997477,11.671899556008418,12.76841867949704,11.851152995936705,11.011436301417062
6.914769296626844,12.679152515547942,14.01214474698275,12.571033493128276,12.317491417775322,12.005972348577831,12.948917959105406,12.623085584858092,12.551262025770525
6.735091661110982,12.795047090982463,15.253573848848843,10.665662719762135,11.758702057063958,11.876237041737507,13.136251258295745,15.023645424910724,10.68854272568814
