K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
3.7477816252605685,3.680845745348741,9.141514520058639,22.381300762499166,1.2651308768339276,1.2881371787284064,51.569975289736284,44.680155573242786
3.5850169852669596,3.7644777430780363,9.312172207999302,22.47909002497143,1.293595868332386,1.2319273685626435,52.8467583866901,44.48578651934425
3.7645432077840906,3.741288396904854,9.031537948925028,22.19801153930789,1.2952715409531737,1.3033225895563882,51.13021837992417,45.04908010472992
3.6892116034512434,3.6143530860900093,9.172745031676936,22.797227031370763,1.193571958025708,1.218292571926329,50.299455931903424,43.86498404494204
3.8918523304674646,3.4848025539214547,8.999991863912166,22.637796582558245,1.1510628667920413,1.2855152139389008,49.1163858894151,44.17391049314713
3.4470055001619273,3.9574306035702658,9.448245177044386,22.544850716673523,1.3136082940369707,1.144180522210228,49.44411104256081,44.356026685083734
4.003352670407264,3.49129001971144,9.03280451344161,22.215661596402157,1.2172091083005396,1.3957354750384687,51.73561133132816,45.01328919062895
3.7075053400090505,3.574013445394822,9.207053905688479,22.805789819587417,1.1697789790061812,1.2134710396470394,49.54663987871795,43.84851425496874
3.666705491820569,3.6761969409541915,9.176801343743136,22.69408356018549,1.2173239769177797,1.2141810091193639,50.076815665680805,44.06434819665512
3.5451720768448522,3.9554817418170067,9.523590612502911,22.04567552323551,1.4068506979365556,1.2609153918944085,53.74763086738133,45.36037006196652
3.9889975304837937,3.468271755324532,8.710551195310106,22.089999825743245,1.2472186492776807,1.4344758608676176,54.647959987554934,45.269353005363996
3.992503481924215,3.535182177933293,8.561399062825798,22.043835053967463,1.2503199493720694,1.4120649234279687,52.48814668746066,45.36415725992376
3.4076501583561276,3.978911784067701,9.647842093051993,22.322538187007062,1.4152663102113556,1.2120732320376972,55.73709723450428,44.79777306785188
4.172071995585381,3.193957953954813,8.648041000782271,22.522141377929394,1.0821881927256296,1.4135962708066478,51.407039585287045,44.40075138592068
4.0756499264569435,3.2719671393393455,8.789312523781662,22.458432416304635,1.1383364505593332,1.417942379440331,54.15320394559815,44.52670522427061
3.740380561902484,3.6533517639044235,9.103030149805889,22.27542510748433,1.2930653016457576,1.3238682262497006,54.71648487448598,44.892521474888014
3.698622024327857,3.7507801455243275,9.29780116188489,22.091333380946928,1.3467697175782396,1.3280416195752138,55.34723408791722,45.26662029655793
3.899046201782915,3.5404830028599745,9.024342417187457,22.243198572654165,1.2274632036772435,1.3517748110243726,52.35809874898933,44.95756294822643
3.3594505196939908,3.9993666220092305,9.465170665839576,22.432477712307676,1.3800924540489365,1.1592716422809997,53.03705121089713,44.57822327184775
3.98235165810632,3.522211860120013,9.167393391781749,22.26406990135655,1.2096052550651717,1.3676274126789103,50.875368099075764,44.91541773047838
3.877138874207691,3.6531149669150205,9.196708718205258,22.166049156638337,1.2655001283681202,1.3431057569902642,51.1260709411465,45.114038723518654
3.9845984435798534,3.3864129600122714,9.091558008514435,22.54493333772095,1.1438737655281377,1.345930835841925,51.72684868190916,44.35586413231281
3.410899946516448,4.114851528646376,9.638572635202626,21.91510753723873,1.4967066208855027,1.2406563147148486,54.466299972341595,45.630622542042
4.038992431504294,3.424119071584989,9.003719708113017,22.291134365126744,1.1804955080350086,1.3924785682675318,51.62265274357252,44.86088431481733
